algorithm,alpha,best_hospital,best_auc,worst_hospital,worst_auc,auc_gap
Central,,2,0.7376984435876582,1,0.7363031624989611,0.0013952810886971312
FedAvg,0.1,2,0.7218089517270656,1,0.720301624452808,0.0015073272742576194
FedAvg,0.5,2,0.7186662327631189,1,0.7166253000568277,0.002040932706291243
FedAvg,1.0,4,0.7497739164533542,1,0.7493243549131656,0.0004495615401886033
FedAvg,5.0,2,0.7524038448015322,1,0.7516926324344165,0.0007112123671156878
FedNova,0.1,2,0.7230060405307405,1,0.7195646230316859,0.0034414174990545776
FedNova,0.5,2,0.7127810063113899,1,0.7104657873260508,0.0023152189853390404
FedNova,1.0,2,0.746432183566901,1,0.7454984702886559,0.0009337132782450963
FedNova,5.0,2,0.754904028448613,1,0.7542149632828713,0.0006890651657417424
FedProx,0.1,3,0.6868363889414523,2,0.6864029788696453,0.0004334100718069722
FedProx,0.5,2,0.6877682220762652,1,0.6846152881598131,0.0031529339164521053
FedProx,1.0,2,0.7403492977841932,1,0.7398450640416825,0.0005042337425107402
FedProx,5.0,2,0.7544835795230649,1,0.7536986492487021,0.0007849302743627717
SCAFFOLD,0.1,2,0.6607430033719114,1,0.6576136822804535,0.003129321091457915
SCAFFOLD,0.5,2,0.6318250872068261,1,0.6305117552044961,0.00131333200232997
SCAFFOLD,1.0,2,0.657790830282887,1,0.6555285291928095,0.002262301090077523
SCAFFOLD,5.0,2,0.6653474450286773,1,0.6622489242396647,0.0030985207890125155
