algorithm,alpha,client,auc,accuracy,sensitivity,specificity
FedAvg,0.1,0,0.7205765177072944,0.6117276089988478,0.8677130044843049,0.3938713660343473
FedAvg,0.1,1,0.720301624452808,0.6109999393608635,0.8719335267739383,0.38893254012796047
FedAvg,0.1,2,0.7218089517270656,0.6250075798920623,0.8463466103930362,0.4366371085419239
FedAvg,0.1,3,0.7206179400799176,0.6121520829543388,0.8670535478765498,0.395218318554271
FedAvg,0.1,4,0.7217877371952685,0.6247650233460675,0.8467422843576893,0.43585138623863506
FedProx,0.1,0,0.6868268771921993,0.5432660238918198,0.9095225534159852,0.23156358738354474
FedProx,0.1,1,0.6867487254033937,0.5422957977078406,0.9109733579530467,0.22853294421371648
FedProx,0.1,2,0.6864029788696453,0.5479958765387181,0.9053020311263519,0.24391065214951174
FedProx,0.1,3,0.6868363889414523,0.5433266630283184,0.9096544447375363,0.23156358738354474
FedProx,0.1,4,0.6864815747868206,0.5480565156752167,0.9050382484832498,0.24424739027949266
SCAFFOLD,0.1,0,0.6579776972944795,0.459765932933115,1.0,0.0
SCAFFOLD,0.1,1,0.6576136822804535,0.459765932933115,1.0,0.0
SCAFFOLD,0.1,2,0.6607430033719114,0.459765932933115,1.0,0.0
SCAFFOLD,0.1,3,0.6580356708510171,0.459765932933115,1.0,0.0
SCAFFOLD,0.1,4,0.6606231257227634,0.459765932933115,1.0,0.0
FedNova,0.1,0,0.7200581606826242,0.6716997149960584,0.6570825639672909,0.6841396340778988
FedNova,0.1,1,0.7195646230316859,0.6712752410405676,0.6623582168293326,0.678864070041531
FedNova,0.1,2,0.7230060405307405,0.6744891152749984,0.6151411237140596,0.7249971938489168
FedNova,0.1,3,0.7201318859920106,0.6721241889515494,0.6564231073595358,0.6854865865978225
FedNova,0.1,4,0.7229085099407329,0.6744891152749984,0.6165919282511211,0.7237624873723201
FedAvg,0.5,0,0.7168650405508447,0.6668485840761628,0.5416776576101292,0.7733752385228421
FedAvg,0.5,1,0.7166253000568277,0.6675762537141471,0.5464257451859668,0.7706813334829947
FedAvg,0.5,2,0.7186662327631189,0.6661209144381784,0.5129253495120021,0.7964979234481985
FedAvg,0.5,3,0.7169008076888923,0.6669092232126614,0.5412819836454761,0.7738242226961499
FedAvg,0.5,4,0.7185798942080301,0.6665453883936693,0.5146399366921657,0.7958244471882366
FedProx,0.5,0,0.6849923975586086,0.6193075010611849,0.32273806383539966,0.8717027724772701
FedProx,0.5,1,0.6846152881598131,0.6187617488326966,0.3220786072276444,0.8712537883039623
FedProx,0.5,2,0.6877682220762652,0.6190649445151901,0.31957267211817464,0.8739476933438096
FedProx,0.5,3,0.6850480468433443,0.6193681401976836,0.32273806383539966,0.8718150185205972
FedProx,0.5,4,0.6876435404385839,0.6189436662421927,0.3193088894750725,0.8739476933438096
SCAFFOLD,0.5,0,0.630667148318949,0.5402340670668849,0.0,1.0
SCAFFOLD,0.5,1,0.6305117552044961,0.5402340670668849,0.0,1.0
SCAFFOLD,0.5,2,0.6318250872068261,0.5402340670668849,0.0,1.0
SCAFFOLD,0.5,3,0.6306882962314908,0.5402340670668849,0.0,1.0
SCAFFOLD,0.5,4,0.6317517246022749,0.5402340670668849,0.0,1.0
FedNova,0.5,0,0.7108036727876537,0.6345279243223576,0.35676602479556846,0.8709170501739814
FedNova,0.5,1,0.7104657873260508,0.6351949548238434,0.3591400685834872,0.8701313278706926
FedNova,0.5,2,0.7127810063113899,0.6339215329573706,0.3466103930361382,0.8784375350768885
FedNova,0.5,3,0.7108531042752122,0.6345885634588564,0.35676602479556846,0.8710292962173083
FedNova,0.5,4,0.7127097829251533,0.6341034503668668,0.3471379583223424,0.8783252890335616
FedAvg,1.0,0,0.7494240617321852,0.6958340913225396,0.600764969664996,0.7767426198226512
FedAvg,1.0,1,0.7493243549131656,0.6958947304590383,0.6012925349512002,0.7764058816926703
FedAvg,1.0,2,0.7497729985880568,0.6957128130495421,0.5985228171986283,0.7784263104725558
FedAvg,1.0,3,0.7494397468657787,0.6959553695955369,0.6011606436296492,0.7766303737793243
FedAvg,1.0,4,0.7497739164533542,0.6958947304590383,0.5991822738063836,0.7782018183859019
FedProx,1.0,0,0.7399413954850916,0.6807955854708629,0.5468214191506199,0.7948142327982939
FedProx,1.0,1,0.7398450640416825,0.6804317506518707,0.547217093115273,0.7938040184083511
FedProx,1.0,2,0.7403492977841932,0.6807349463343642,0.5433922447902928,0.7976203838814682
FedProx,1.0,3,0.7399568067395237,0.6806136680613668,0.5465576365075178,0.7947019867549668
